student_id,name,department,cgpa,attendance,coding_score,aptitude_score,communication_score,projects_count,internships,placement_status,placement_encoded
43,Student_43,EEE,5.17,61.43,62,72,29,0,0,Not Placed,0
44,Student_44,IT,9.55,83.59,59,62,57,2,0,Placed,1
45,Student_45,MECH,6.29,80.91,74,69,27,3,2,Placed,1
46,Student_46,MECH,8.31,67.91,58,48,44,0,0,Not Placed,0
47,Student_47,EEE,6.56,55.68,34,76,92,3,0,Placed,1
48,Student_48,IT,7.6,83.58,23,58,85,2,0,Placed,1
49,Student_49,EEE,7.73,76.02,44,75,98,3,0,Placed,1
50,Student_50,IT,5.92,88.62,32,62,69,5,2,Placed,1
51,Student_51,EEE,9.85,76.01,52,69,86,5,0,Placed,1
52,Student_52,MECH,8.88,92.61,35,42,68,4,2,Placed,1
53,Student_53,MECH,9.7,77.6,61,63,55,4,1,Placed,1
54,Student_54,CSE,9.47,78.05,85,57,87,3,2,Placed,1
55,Student_55,ECE,7.99,93.83,74,42,97,0,2,Placed,1
56,Student_56,EEE,9.61,70.17,61,64,60,5,0,Placed,1
57,Student_57,CSE,5.44,56.7,53,71,81,0,1,Placed,1
58,Student_58,ECE,5.98,51.44,49,99,29,0,1,Placed,1
59,Student_59,EEE,5.23,87.76,32,69,40,3,1,Placed,1
60,Student_60,IT,6.63,81.02,32,27,55,0,1,Not Placed,0
61,Student_61,ECE,6.94,85.2,37,20,31,5,2,Not Placed,0
62,Student_62,MECH,6.36,60.65,51,27,21,2,1,Not Placed,0
63,Student_63,CSE,9.14,56.82,58,48,32,4,2,Placed,1
64,Student_64,ECE,6.78,50.73,65,24,72,2,2,Placed,1
65,Student_65,ECE,6.4,67.53,48,66,51,0,2,Placed,1
66,Student_66,MECH,7.71,79.5,81,53,35,2,1,Placed,1
67,Student_67,EEE,5.7,69.61,81,84,51,5,0,Placed,1
68,Student_68,IT,9.01,71.87,76,74,51,5,0,Placed,1
69,Student_69,MECH,5.37,95.21,35,62,30,0,1,Not Placed,0
70,Student_70,IT,9.93,67.41,75,93,29,3,0,Placed,1
71,Student_71,EEE,8.86,75.7,29,49,34,2,0,Not Placed,0
72,Student_72,ECE,5.99,89.18,49,36,36,3,2,Placed,1
73,Student_73,IT,5.03,69.83,44,45,59,3,2,Placed,1
74,Student_74,CSE,9.08,81.1,24,27,37,1,1,Not Placed,0
75,Student_75,CSE,8.53,93.12,84,66,74,0,1,Placed,1
76,Student_76,MECH,8.65,97.48,68,95,92,4,0,Placed,1
77,Student_77,EEE,8.86,57.35,22,91,44,5,2,Placed,1
78,Student_78,MECH,5.37,96.33,64,65,78,5,1,Placed,1
79,Student_79,MECH,6.79,74.61,33,87,97,0,1,Placed,1
80,Student_80,MECH,5.58,62.91,49,52,41,4,1,Placed,1
81,Student_81,CSE,9.32,72.96,87,20,49,5,1,Placed,1
82,Student_82,CSE,8.12,99.0,37,38,63,0,1,Not Placed,0
83,Student_83,MECH,6.65,74.63,81,50,51,5,1,Placed,1
84,Student_84,CSE,5.32,66.44,56,99,70,3,0,Placed,1
85,Student_85,EEE,6.55,81.67,44,33,65,2,2,Placed,1
86,Student_86,MECH,6.63,62.01,67,72,40,2,2,Placed,1
87,Student_87,CSE,8.65,53.79,84,67,51,5,1,Placed,1
88,Student_88,IT,8.19,56.44,72,88,58,1,2,Placed,1
89,Student_89,MECH,9.44,56.4,98,81,31,4,2,Placed,1
90,Student_90,MECH,7.36,57.6,92,85,66,4,2,Placed,1
91,Student_91,EEE,5.6,56.94,34,83,37,4,1,Placed,1
92,Student_92,ECE,8.57,82.04,68,89,40,3,1,Placed,1
93,Student_93,ECE,8.8,59.09,87,82,32,4,2,Placed,1
94,Student_94,EEE,7.81,67.28,31,92,40,2,2,Placed,1
95,Student_95,EEE,8.85,94.84,78,52,27,3,1,Placed,1
96,Student_96,EEE,7.47,73.7,56,60,65,0,0,Placed,1
97,Student_97,ECE,7.61,83.38,80,67,26,4,2,Placed,1
98,Student_98,EEE,7.14,58.62,62,32,42,4,0,Placed,1
99,Student_99,CSE,5.13,59.61,89,92,94,0,2,Placed,1
100,Student_100,MECH,5.54,52.04,58,96,41,4,0,Placed,1
101,Student_101,MECH,5.16,58.45,75,50,41,0,0,Not Placed,0
102,Student_102,IT,8.18,63.93,82,94,48,3,0,Placed,1
103,Student_103,IT,6.57,58.85,65,87,32,2,1,Placed,1
104,Student_104,MECH,7.54,54.44,30,23,21,0,0,Not Placed,0
105,Student_105,CSE,9.54,56.03,81,38,48,1,0,Placed,1
106,Student_106,ECE,6.25,73.04,96,89,98,0,0,Placed,1
107,Student_107,ECE,7.05,60.32,44,32,71,4,2,Placed,1
108,Student_108,CSE,8.78,68.21,90,42,46,3,0,Placed,1
109,Student_109,ECE,6.14,75.17,71,94,69,5,2,Placed,1
110,Student_110,EEE,5.38,84.52,23,20,98,3,0,Not Placed,0
111,Student_111,MECH,6.45,51.97,78,73,42,5,0,Placed,1
112,Student_112,MECH,5.81,89.97,91,90,63,0,1,Placed,1
113,Student_113,CSE,9.65,81.4,39,34,96,2,2,Placed,1
114,Student_114,ECE,9.04,54.09,82,84,41,1,0,Placed,1
115,Student_115,IT,8.17,93.68,73,95,62,3,2,Placed,1
116,Student_116,IT,9.36,96.04,93,90,56,4,2,Placed,1
117,Student_117,ECE,9.02,53.05,76,34,80,5,1,Placed,1
118,Student_118,IT,5.93,63.84,60,40,75,4,1,Placed,1
119,Student_119,CSE,9.46,90.31,22,38,22,2,1,Not Placed,0
120,Student_120,CSE,7.7,87.41,25,79,82,5,1,Placed,1
121,Student_121,ECE,9.04,59.23,24,52,38,3,1,Not Placed,0
122,Student_122,IT,9.48,60.47,24,68,42,0,1,Not Placed,0
123,Student_123,CSE,6.59,68.52,73,54,48,4,1,Placed,1
124,Student_124,CSE,5.55,74.23,66,63,49,2,1,Placed,1
125,Student_125,EEE,6.14,80.91,68,30,58,3,0,Placed,1
126,Student_126,EEE,7.14,68.45,28,91,44,3,2,Placed,1
127,Student_127,CSE,9.09,73.13,39,97,27,3,1,Placed,1
128,Student_128,ECE,9.3,87.37,80,93,77,3,1,Placed,1
129,Student_129,MECH,5.03,51.83,54,85,35,5,2,Placed,1
130,Student_130,MECH,7.55,62.62,69,65,91,3,0,Placed,1
131,Student_131,CSE,7.09,85.67,81,28,20,4,2,Placed,1
132,Student_132,CSE,6.11,94.76,36,22,24,2,2,Not Placed,0
133,Student_133,CSE,5.6,75.58,22,45,22,5,1,Not Placed,0
134,Student_134,ECE,6.69,76.61,51,91,84,3,2,Placed,1
135,Student_135,EEE,9.71,55.36,32,67,23,1,2,Not Placed,0
136,Student_136,CSE,6.62,72.37,92,85,83,1,1,Placed,1
137,Student_137,CSE,7.59,76.63,87,89,29,2,1,Placed,1
138,Student_138,IT,8.52,62.12,33,47,40,0,1,Not Placed,0
139,Student_139,ECE,6.82,63.46,30,45,65,0,1,Not Placed,0
140,Student_140,CSE,9.86,68.86,75,44,46,5,2,Placed,1
141,Student_141,IT,9.81,51.0,86,31,85,5,2,Placed,1
142,Student_142,MECH,6.26,66.1,48,24,60,5,0,Placed,1
143,Student_143,CSE,7.49,60.57,28,67,32,0,0,Not Placed,0
144,Student_144,CSE,6.5,66.37,86,56,28,1,2,Placed,1
145,Student_145,IT,6.42,55.99,44,98,55,0,0,Placed,1
146,Student_146,ECE,5.18,94.53,95,63,77,4,2,Placed,1
147,Student_147,CSE,8.05,79.68,61,34,73,3,0,Placed,1
148,Student_148,MECH,7.51,83.96,28,62,31,5,1,Placed,1
149,Student_149,CSE,5.26,89.46,98,67,97,1,0,Placed,1
150,Student_150,MECH,6.39,74.92,59,89,33,2,1,Placed,1
151,Student_151,EEE,9.54,54.35,44,65,53,2,1,Placed,1
152,Student_152,EEE,6.2,76.86,24,62,72,3,1,Placed,1
153,Student_153,MECH,5.72,79.34,30,40,39,1,1,Not Placed,0
154,Student_154,ECE,7.45,87.27,78,42,94,0,0,Placed,1
155,Student_155,CSE,9.93,71.58,98,99,35,0,2,Placed,1
156,Student_156,CSE,6.21,56.38,57,66,89,4,1,Placed,1
157,Student_157,EEE,8.36,64.19,91,34,75,4,0,Placed,1
158,Student_158,MECH,8.81,68.15,24,44,77,0,1,Not Placed,0
159,Student_159,CSE,6.19,82.3,67,55,23,2,0,Not Placed,0
160,Student_160,CSE,8.64,78.54,37,94,23,5,0,Placed,1
161,Student_161,ECE,6.84,67.8,89,70,39,2,0,Placed,1
162,Student_162,IT,8.16,99.33,56,34,29,4,2,Placed,1
163,Student_163,EEE,8.17,80.29,79,87,43,3,0,Placed,1
164,Student_164,EEE,7.68,61.86,67,40,45,0,0,Not Placed,0
165,Student_165,IT,5.45,55.09,96,32,56,4,2,Placed,1
166,Student_166,CSE,9.18,57.64,47,38,73,4,2,Placed,1
167,Student_167,ECE,6.6,62.3,88,53,40,5,0,Placed,1
168,Student_168,ECE,5.93,58.03,96,97,93,0,2,Placed,1
169,Student_169,EEE,5.2,59.33,59,87,57,5,1,Placed,1
170,Student_170,ECE,7.95,64.25,64,71,65,0,1,Placed,1
171,Student_171,IT,8.39,58.67,81,46,23,5,2,Placed,1
172,Student_172,CSE,5.08,94.84,77,48,79,2,2,Placed,1
173,Student_173,IT,7.56,54.01,86,47,76,3,0,Placed,1
174,Student_174,MECH,6.13,76.23,75,54,64,3,2,Placed,1
175,Student_175,EEE,8.23,70.52,59,27,39,0,0,Not Placed,0
176,Student_176,ECE,5.87,99.12,59,35,36,1,1,Not Placed,0
177,Student_177,MECH,8.45,55.6,96,55,90,4,2,Placed,1
178,Student_178,ECE,6.93,69.89,52,49,23,4,0,Not Placed,0
179,Student_179,CSE,9.68,98.47,25,37,33,0,0,Not Placed,0
180,Student_180,CSE,5.69,93.28,38,21,22,5,1,Not Placed,0
181,Student_181,CSE,6.71,90.85,99,68,99,1,2,Placed,1
182,Student_182,ECE,5.57,62.9,59,96,77,2,1,Placed,1
183,Student_183,MECH,9.62,58.54,78,23,74,5,0,Placed,1
184,Student_184,CSE,9.39,83.43,78,94,23,5,0,Placed,1
185,Student_185,MECH,6.29,96.47,67,26,43,0,2,Not Placed,0
186,Student_186,ECE,8.3,77.84,60,93,53,0,0,Placed,1
187,Student_187,MECH,9.09,78.58,32,58,49,4,2,Placed,1
188,Student_188,ECE,7.78,64.0,64,32,38,0,1,Not Placed,0
189,Student_189,ECE,7.65,88.47,72,50,50,0,2,Placed,1
190,Student_190,EEE,6.21,59.35,61,90,79,0,2,Placed,1
191,Student_191,ECE,5.47,66.18,82,82,79,4,0,Placed,1
192,Student_192,ECE,9.49,71.27,46,75,38,2,0,Placed,1
193,Student_193,IT,9.5,75.38,57,61,68,2,2,Placed,1
194,Student_194,CSE,8.17,62.12,79,80,82,0,0,Placed,1
195,Student_195,EEE,6.7,55.74,26,61,41,4,0,Not Placed,0
196,Student_196,EEE,6.75,80.53,24,75,43,2,0,Not Placed,0
197,Student_197,EEE,8.63,64.43,64,55,95,5,2,Placed,1
198,Student_198,IT,9.49,79.06,77,87,49,2,0,Placed,1
199,Student_199,ECE,9.44,57.72,50,26,77,2,2,Placed,1
200,Student_200,CSE,8.9,74.06,42,73,50,4,0,Placed,1
201,Student_201,MECH,8.21,76.63,61,20,83,5,1,Placed,1
202,Student_202,ECE,5.42,52.59,29,63,38,4,0,Not Placed,0
203,Student_203,IT,5.81,66.83,51,64,67,0,0,Placed,1
204,Student_204,ECE,9.49,56.72,72,66,64,3,2,Placed,1
205,Student_205,ECE,8.03,53.17,49,32,74,2,2,Placed,1
206,Student_206,IT,5.05,99.5,58,41,74,3,0,Placed,1
207,Student_207,EEE,5.51,66.12,50,40,37,4,1,Placed,1
208,Student_208,EEE,8.32,90.49,21,28,82,4,0,Not Placed,0
209,Student_209,CSE,5.03,62.73,97,45,66,4,0,Placed,1
210,Student_210,CSE,5.8,84.08,96,28,94,3,1,Placed,1
211,Student_211,EEE,7.74,88.01,31,34,76,4,2,Placed,1
212,Student_212,MECH,8.46,79.78,58,29,64,0,0,Not Placed,0
213,Student_213,ECE,8.26,73.58,85,61,52,4,2,Placed,1
214,Student_214,MECH,6.12,70.59,32,91,36,1,2,Placed,1
215,Student_215,ECE,8.56,67.44,65,43,89,3,1,Placed,1
216,Student_216,EEE,6.19,96.48,46,99,23,1,1,Placed,1
217,Student_217,CSE,6.63,91.53,36,68,39,4,2,Placed,1
218,Student_218,CSE,8.73,98.25,79,45,66,0,0,Placed,1
219,Student_219,MECH,8.25,56.21,83,56,34,2,2,Placed,1
220,Student_220,CSE,9.25,86.54,54,87,89,5,0,Placed,1
221,Student_221,EEE,8.29,96.92,89,69,66,5,0,Placed,1
222,Student_222,MECH,7.84,59.06,49,43,97,4,1,Placed,1
223,Student_223,ECE,5.47,53.32,90,38,94,0,0,Placed,1
224,Student_224,CSE,6.84,87.06,93,79,28,3,0,Placed,1
225,Student_225,IT,6.33,78.72,82,58,35,1,2,Placed,1
226,Student_226,CSE,6.22,92.09,47,93,88,1,1,Placed,1
227,Student_227,ECE,9.87,56.99,79,37,80,1,0,Placed,1
228,Student_228,MECH,6.97,89.76,98,38,29,3,0,Placed,1
229,Student_229,ECE,9.46,60.08,56,55,69,5,1,Placed,1
230,Student_230,IT,8.16,58.18,41,93,22,0,2,Placed,1
231,Student_231,EEE,8.97,58.21,87,74,96,3,1,Placed,1
232,Student_232,CSE,7.51,90.73,39,88,89,1,1,Placed,1
233,Student_233,MECH,7.88,83.26,87,66,70,4,0,Placed,1
234,Student_234,EEE,7.46,76.15,83,68,38,2,0,Placed,1
235,Student_235,ECE,5.98,67.94,36,52,61,3,2,Placed,1
236,Student_236,MECH,8.61,93.86,31,40,54,3,0,Not Placed,0
237,Student_237,EEE,6.4,69.62,41,41,65,0,0,Not Placed,0
238,Student_238,MECH,5.12,90.83,36,67,45,0,1,Not Placed,0
239,Student_239,IT,8.23,71.96,29,56,88,3,0,Placed,1
240,Student_240,IT,5.89,68.85,84,34,83,1,2,Placed,1
241,Student_241,CSE,9.7,73.13,41,54,56,2,1,Placed,1
242,Student_242,CSE,9.77,65.07,69,90,68,0,2,Placed,1
243,Student_243,IT,9.57,87.38,33,51,40,1,1,Not Placed,0
244,Student_244,MECH,6.85,75.14,83,30,93,4,0,Placed,1
245,Student_245,IT,5.08,61.61,66,29,83,0,1,Placed,1
246,Student_246,CSE,9.64,94.98,48,92,24,1,1,Placed,1
247,Student_247,IT,7.14,69.19,95,97,89,1,0,Placed,1
248,Student_248,IT,9.83,77.18,55,96,23,2,0,Placed,1
249,Student_249,MECH,9.82,95.32,71,76,58,2,2,Placed,1
250,Student_250,EEE,9.27,81.21,95,44,54,4,2,Placed,1
251,Student_251,CSE,6.47,55.84,26,21,20,1,0,Not Placed,0
252,Student_252,MECH,6.93,96.99,48,83,43,5,0,Placed,1
253,Student_253,IT,9.26,81.39,30,54,76,1,0,Not Placed,0
254,Student_254,IT,6.58,66.75,52,26,89,2,1,Placed,1
255,Student_255,EEE,5.85,56.96,25,37,60,5,1,Placed,1
256,Student_256,CSE,7.78,89.7,98,86,73,0,1,Placed,1
257,Student_257,CSE,9.68,81.0,51,61,65,0,0,Placed,1
258,Student_258,ECE,8.48,76.67,70,58,79,3,2,Placed,1
259,Student_259,CSE,7.85,94.69,94,60,79,2,0,Placed,1
260,Student_260,EEE,5.49,89.43,77,94,76,3,1,Placed,1
261,Student_261,ECE,8.08,57.58,45,43,50,5,1,Placed,1
262,Student_262,ECE,9.95,65.59,65,79,43,2,0,Placed,1
263,Student_263,IT,5.7,62.42,48,65,55,4,0,Placed,1
264,Student_264,IT,7.59,87.2,23,38,49,1,1,Not Placed,0
265,Student_265,CSE,9.39,51.68,32,87,43,4,1,Placed,1
266,Student_266,ECE,8.7,78.49,58,61,49,5,1,Placed,1
267,Student_267,IT,8.49,88.12,34,51,26,2,0,Not Placed,0
268,Student_268,EEE,8.51,93.84,48,58,54,5,1,Placed,1
269,Student_269,IT,6.8,67.1,48,55,74,1,1,Placed,1
270,Student_270,IT,6.47,91.06,94,55,33,0,2,Placed,1
271,Student_271,ECE,9.05,55.53,51,22,29,0,0,Not Placed,0
272,Student_272,ECE,9.05,92.32,21,92,99,5,2,Placed,1
273,Student_273,MECH,9.34,56.37,66,27,35,3,2,Placed,1
274,Student_274,EEE,9.57,69.86,97,89,73,2,1,Placed,1
275,Student_275,ECE,7.56,89.86,41,60,96,2,0,Placed,1
276,Student_276,CSE,7.51,57.5,94,87,89,0,1,Placed,1
277,Student_277,EEE,8.99,61.46,46,32,63,4,0,Placed,1
278,Student_278,EEE,8.25,86.11,86,68,92,1,2,Placed,1
279,Student_279,ECE,8.51,86.0,75,79,64,4,0,Placed,1
280,Student_280,EEE,8.98,82.06,40,21,75,4,1,Placed,1
281,Student_281,ECE,9.45,84.7,66,79,76,5,1,Placed,1
282,Student_282,IT,6.69,77.14,99,24,40,0,1,Placed,1
283,Student_283,MECH,6.88,62.59,78,63,87,0,0,Placed,1
284,Student_284,IT,5.47,67.28,25,46,69,0,2,Not Placed,0
285,Student_285,ECE,7.89,59.08,38,51,52,5,2,Placed,1
286,Student_286,ECE,5.18,95.42,76,40,26,3,0,Placed,1
287,Student_287,IT,7.33,79.17,88,27,89,4,1,Placed,1
288,Student_288,CSE,7.71,70.04,22,91,34,5,2,Placed,1
289,Student_289,CSE,6.43,73.1,20,69,51,2,1,Placed,1
290,Student_290,CSE,7.95,97.36,77,86,94,1,0,Placed,1
291,Student_291,ECE,5.15,57.67,57,63,39,3,1,Placed,1
292,Student_292,EEE,5.19,79.31,34,77,34,2,2,Placed,1
293,Student_293,ECE,9.11,75.29,53,22,67,4,2,Placed,1
294,Student_294,EEE,6.8,80.57,80,89,90,0,1,Placed,1
295,Student_295,IT,5.64,50.91,54,21,40,4,0,Not Placed,0
296,Student_296,MECH,7.61,93.61,83,63,61,5,1,Placed,1
297,Student_297,EEE,8.85,96.61,44,21,45,1,0,Not Placed,0
298,Student_298,CSE,6.08,78.26,43,54,33,5,1,Placed,1
299,Student_299,ECE,8.11,84.83,31,49,76,3,2,Placed,1
300,Student_300,IT,5.43,96.12,37,27,56,3,0,Not Placed,0
301,Student_301,CSE,5.26,85.36,34,41,77,1,0,Not Placed,0
302,Student_302,IT,7.66,57.63,99,63,40,2,0,Placed,1
303,Student_303,MECH,7.7,78.81,46,77,88,2,2,Placed,1
304,Student_304,ECE,8.19,80.34,91,55,22,3,1,Placed,1
305,Student_305,ECE,8.63,71.21,79,88,56,3,2,Placed,1
306,Student_306,MECH,9.88,86.82,65,96,68,0,0,Placed,1
307,Student_307,ECE,7.58,96.72,36,50,38,2,1,Not Placed,0
308,Student_308,EEE,6.61,96.28,72,66,31,1,2,Placed,1
309,Student_309,IT,8.98,72.54,27,74,80,2,0,Placed,1
310,Student_310,CSE,6.35,55.66,98,99,60,0,0,Placed,1
311,Student_311,MECH,7.19,99.24,46,81,52,5,2,Placed,1
312,Student_312,EEE,5.39,91.94,65,49,69,3,2,Placed,1
313,Student_313,CSE,5.13,56.23,69,74,87,3,2,Placed,1
314,Student_314,CSE,9.81,96.04,90,35,90,0,0,Placed,1
315,Student_315,MECH,9.18,93.49,22,31,52,1,2,Not Placed,0
316,Student_316,EEE,8.48,75.94,83,36,43,3,0,Placed,1
317,Student_317,CSE,7.04,79.56,63,35,80,4,2,Placed,1
318,Student_318,CSE,5.87,69.95,72,31,80,3,0,Placed,1
319,Student_319,EEE,5.78,52.74,43,27,47,4,0,Not Placed,0
320,Student_320,ECE,6.25,66.76,79,22,77,0,1,Placed,1
321,Student_321,CSE,7.75,90.14,22,35,62,0,2,Not Placed,0
322,Student_322,IT,8.57,50.23,39,49,60,3,2,Placed,1
323,Student_323,EEE,8.3,66.67,65,42,58,2,0,Placed,1
324,Student_324,CSE,6.4,69.91,34,24,68,4,0,Not Placed,0
325,Student_325,MECH,9.77,76.87,44,84,36,1,0,Placed,1
326,Student_326,IT,8.69,95.99,97,49,89,3,1,Placed,1
327,Student_327,CSE,7.77,67.32,90,40,89,1,1,Placed,1
328,Student_328,IT,8.06,67.35,36,89,84,3,0,Placed,1
329,Student_329,IT,7.1,86.88,28,41,93,2,2,Placed,1
330,Student_330,ECE,6.24,72.61,57,91,24,2,2,Placed,1
331,Student_331,IT,6.78,61.23,67,51,21,2,1,Placed,1
332,Student_332,ECE,8.79,72.62,79,52,41,5,1,Placed,1
333,Student_333,EEE,5.07,57.04,82,35,76,2,0,Placed,1
334,Student_334,ECE,5.58,58.82,21,95,85,0,2,Placed,1
335,Student_335,MECH,5.23,74.92,91,57,93,0,0,Placed,1
336,Student_336,CSE,5.2,70.95,30,33,35,5,1,Not Placed,0
337,Student_337,EEE,9.28,95.74,83,55,70,4,2,Placed,1
338,Student_338,EEE,8.52,68.12,96,42,58,1,2,Placed,1
339,Student_339,MECH,7.37,79.03,91,85,95,3,1,Placed,1
340,Student_340,ECE,5.49,81.61,40,21,59,3,0,Not Placed,0
341,Student_341,CSE,7.46,50.65,37,92,57,5,0,Placed,1
342,Student_342,ECE,7.37,83.18,83,84,79,0,2,Placed,1
343,Student_343,IT,5.87,58.9,57,94,78,3,1,Placed,1
344,Student_344,ECE,7.17,98.05,51,86,29,0,2,Placed,1
345,Student_345,EEE,6.99,57.43,30,71,83,4,1,Placed,1
346,Student_346,CSE,8.08,70.73,64,81,82,1,0,Placed,1
347,Student_347,ECE,8.18,54.27,52,42,68,4,1,Placed,1
348,Student_348,CSE,5.23,99.84,60,45,83,5,0,Placed,1
349,Student_349,CSE,6.87,75.11,27,87,51,2,1,Placed,1
350,Student_350,IT,8.13,79.77,30,74,26,2,2,Placed,1
351,Student_351,IT,7.52,53.35,70,25,40,2,0,Not Placed,0
352,Student_352,EEE,9.28,87.5,60,54,39,4,2,Placed,1
353,Student_353,MECH,8.29,60.5,36,41,45,3,2,Placed,1
354,Student_354,CSE,5.81,94.9,95,62,87,1,0,Placed,1
355,Student_355,MECH,5.35,60.26,65,34,34,2,0,Not Placed,0
356,Student_356,EEE,8.21,59.53,51,79,98,5,2,Placed,1
357,Student_357,CSE,5.13,51.83,98,31,33,5,2,Placed,1
358,Student_358,CSE,7.93,73.6,99,68,46,2,2,Placed,1
359,Student_359,MECH,9.7,78.24,73,61,59,2,2,Placed,1
360,Student_360,ECE,7.88,53.29,39,57,77,1,0,Placed,1
361,Student_361,IT,6.94,88.78,52,64,47,2,0,Placed,1
362,Student_362,ECE,8.22,72.66,93,54,45,1,2,Placed,1
363,Student_363,MECH,7.29,76.22,59,49,82,5,1,Placed,1
364,Student_364,IT,7.73,72.04,51,49,85,2,1,Placed,1
365,Student_365,ECE,9.71,70.04,21,97,44,4,0,Placed,1
366,Student_366,IT,6.93,77.98,52,25,22,4,2,Placed,1
367,Student_367,CSE,9.81,57.76,96,86,91,5,2,Placed,1
368,Student_368,ECE,9.53,59.1,49,99,63,1,0,Placed,1
369,Student_369,IT,5.98,93.09,52,26,61,4,1,Placed,1
370,Student_370,IT,5.35,97.31,96,71,25,1,1,Placed,1
371,Student_371,IT,5.5,68.67,45,33,58,4,1,Placed,1
372,Student_372,ECE,5.09,63.54,41,92,71,4,0,Placed,1
373,Student_373,EEE,5.47,82.2,85,34,42,1,1,Placed,1
374,Student_374,ECE,8.42,70.44,57,40,69,3,0,Placed,1
375,Student_375,MECH,5.36,51.27,65,54,62,4,0,Placed,1
376,Student_376,ECE,6.59,57.81,34,85,38,2,2,Placed,1
377,Student_377,IT,9.22,85.8,63,21,88,5,1,Placed,1
378,Student_378,CSE,5.12,82.95,68,54,70,3,0,Placed,1
379,Student_379,ECE,9.07,51.35,94,97,30,1,1,Placed,1
380,Student_380,ECE,6.41,61.1,80,39,31,3,1,Placed,1
381,Student_381,IT,5.59,61.55,86,29,93,0,2,Placed,1
382,Student_382,CSE,8.48,83.59,25,44,27,0,1,Not Placed,0
383,Student_383,CSE,8.14,50.99,28,85,43,4,2,Placed,1
384,Student_384,MECH,9.39,55.21,25,44,60,4,0,Not Placed,0
385,Student_385,ECE,8.68,90.0,92,73,55,2,1,Placed,1
386,Student_386,CSE,9.02,58.93,51,52,91,5,0,Placed,1
387,Student_387,CSE,6.41,82.64,60,55,74,3,1,Placed,1
388,Student_388,EEE,5.89,61.91,95,33,28,0,0,Not Placed,0
389,Student_389,EEE,8.75,54.97,27,84,66,4,1,Placed,1
390,Student_390,CSE,9.03,62.16,91,99,34,5,1,Placed,1
391,Student_391,MECH,9.95,86.11,69,73,67,3,1,Placed,1
392,Student_392,CSE,7.06,92.78,81,71,61,4,1,Placed,1
393,Student_393,IT,6.86,91.51,81,22,79,4,1,Placed,1
394,Student_394,ECE,8.88,69.86,26,60,89,0,1,Placed,1
